groupby_lastfm,year,song,artist,genre,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,genre_category,Alternative & Punk,Classical,Electronica,Jazz,Other,Pop,Rock,Soundtrack,Traditional,Urban,number_of_songs_by_artist,total_number_of_songs_by_artist,genre_Count_from2005,groupby_youtube,groupby_5,groupby_3,rankby_total_count,groupby_3_total_rank,groupby_5_total_rank,full_gerne_count
1,1959,Dream Lover,Bobby Darin,Rock,1353,17,119,8,519246,337,47044404.0,22,47563650.0,6,0,0,0,0,0,0,1,0,0,0,326,334,1990,1,1,1,23,1,1,75454
1,1965,We Can Work It Out,The Beatles,Rock,1064,12,582,1,2460648,66,43053375.0,26,45514023.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,25,1,1,75454
1,1967,Light My Fire,The Doors,Rock,1442,23,71,147,5574004,13,37757444.0,27,43331448.0,6,0,0,0,0,0,0,1,0,0,0,99,140,1990,1,1,1,26,1,1,75454
1,1965,Help!,The Beatles,Rock,1136,13,407,1,6265950,7,36548843.0,30,42814793.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,27,1,1,75454
1,1965,(I Can't Get No) Satisfaction,The Rolling Stones,Rock,1213,14,270,32,4312676,21,37080604.0,29,41393280.0,6,0,0,0,0,0,0,1,0,0,0,218,585,1990,1,1,1,28,1,1,75454
1,1968,Born To Be Wild,Steppenwolf,Rock,1092,13,514,187,2959111,52,37224114.0,28,40183225.0,6,0,0,0,0,0,0,1,0,0,0,82,113,1990,1,1,1,29,1,1,75454
1,1968,Revolution,The Beatles,Rock,901,11,1052,1,2302528,76,30623334.0,37,32925862.0,6,0,0,0,0,0,0,1,0,0,0,530,608,1990,1,1,1,34,1,1,75454
1,1969,Fortunate Son,Creedence Clearwater Revival,Rock,283,4,4171,108,5322393,15,27338839.0,48,32661232.0,6,0,0,0,0,0,0,1,0,0,0,127,154,1990,1,1,1,35,1,1,75454
1,1959,La Bamba,Ritchie Valens,Rock,847,15,1241,249,669816,264,31331706.0,35,32001522.0,6,0,0,0,0,0,0,1,0,0,0,61,61,1990,1,1,1,36,1,1,75454
1,1969,Build Me Up Buttercup,The Foundations,Rock,1238,15,238,346,1062355,171,30926200.0,36,31988555.0,6,0,0,0,0,0,0,1,0,0,0,43,43,1990,1,1,1,37,1,1,75454
1,1969,"Sugar, Sugar",The Archies,Rock,1797,22,9,221,605428,298,30241556.0,38,30846984.0,6,0,0,0,0,0,0,1,0,0,0,70,70,1990,1,1,1,38,1,1,75454
1,1958,Johnny B. Goode,Chuck Berry,Rock,21,1,7206,112,2752887,57,27025883.0,50,29778770.0,6,0,0,0,0,0,0,1,0,0,0,123,153,1990,1,1,1,42,1,1,75454
5,1967,"For What It's Worth (Stop, Hey What's That Sound)",The Buffalo Springfield,Rock,1049,15,621,438,4890,3850,29351769.0,39,29356659.0,6,0,0,0,0,0,0,1,0,0,0,34,34,1990,1,1,1,46,1,1,75454
