,song,artist,sum,count,old_popularity,lastfm_count,new_popularity,genre,year
1624,Stoned Soul Picnic,The 5th Dimension,20460,16,1625,61318,1378,Rock,
4580,A Must To Avoid,Herman's Hermits,13198,9,4581,61206,1379,Rock,
2785,I Want Candy,The Strangeloves,17628,10,2786,61115,1380,Rock,
1678,"Baby, Now That I've Found You",The Foundations,20312,13,1679,61102,1381,Rock,
4509,Big Girls Don't Cry,The 4 Seasons,13422,16,4510,60959,1383,Rock,
8045,A Thousand Miles Away,The Heartbeats,480,1,8046,60761,1385,Rock,
5129,"Past, Present And Future",The Shangri-Las,11166,6,5130,60700,1386,Rock,
2256,('Til) I Kissed You,The Everly Brothers,18818,16,2257,60520,1387,Rock,
7325,Maybe,The Shangri-Las,1654,2,7326,60463,1388,Rock,
1065,Never Be Anyone Else But You,Ricky Nelson,22398,16,1066,60437,1389,Rock,
2596,Run To Him,Bobby Vee,18084,15,2597,60096,1392,Rock,
2375,Dear Eloise,The Hollies,18538,8,2376,60043,1393,Rock,
634,I Gotta Know,Elvis Presley With The Jordanaires,24618,11,635,59888,1395,Rock,
4706,Screaming Night Hog,Steppenwolf,12776,7,4707,59562,1397,Rock,
4720,Listen To The Band,The Monkees,12720,8,4721,59305,1398,Rock,
2818,Last Kiss,J. Frank Wilson and The Cavaliers,17562,15,2819,59224,1399,Rock,
3809,It Hurts Me,Elvis Presley With The Jordanaires,15492,7,3810,58677,1405,Rock,
2044,Problems,The Everly Brothers,19272,15,2045,58472,1406,Rock,
1354,Sweet Pea,Tommy Roe,21348,14,1355,58418,1407,Rock,
4752,Roses Are Red (My Love),Bobby Vinton,12594,15,4753,58154,1413,Rock,
7670,I'm Gonna Make You Mine,The Shadows Of Knight,990,1,7671,58084,1416,Rock,
1800,Follow That Dream,Elvis Presley,19982,10,1801,57971,1417,Rock,
1695,Fresh Air,Quicksilver Messenger Service,20266,9,1696,57841,1419,Rock,
7470,I Want You Back Again,The Zombies,1344,3,7471,57770,1420,Rock,
2409,Wild One,Bobby Rydell,18444,16,2410,57565,1421,Rock,
2131,Goin' Out Of My Head,Little Anthony And The Imperials,19082,14,2132,57522,1422,Rock,
1672,Mashed Potato Time,Dee Dee Sharp,20324,18,1673,57434,1424,Rock,
2407,Maybe I Know,Lesley Gore,18452,10,2408,57428,1425,Rock,
4398,You Were On My Mind,Crispian St. Peters,13752,6,4399,57319,1426,Rock,
1178,Where Or When,Dion & The Belmonts,21952,16,1179,57152,1432,Rock,
4161,Oh Yeah,The Shadows Of Knight,14404,6,4162,56827,1436,Rock,
2470,Remember Then,The Earls,18334,9,2471,56591,1441,Rock,
3534,You're The One,The Vogues,16054,12,3535,56260,1447,Rock,
4298,Who Needs Ya,Steppenwolf,14008,6,4299,56115,1450,Rock,
527,Long Long Time,Linda Ronstadt,25308,12,528,56106,1451,Rock,
1177,Only You Know And I Know,Dave Mason,21954,10,1178,56011,1454,Rock,
3092,All Cried Out,Dusty Springfield,16906,7,3093,55789,1459,Rock,
8268,Cry Myself To Sleep,Del Shannon,198,1,8269,55683,1460,Rock,
2369,Give Us Your Blessings,The Shangri-Las,18560,8,2370,55623,1463,Rock,
1162,Baby Face,Little Richard,22038,10,1163,55549,1464,Rock,
2573,See You In September,The Happenings,18132,14,2574,55515,1465,Rock,
4781,Memphis,Johnny Rivers,12492,12,4782,55496,1466,Rock,
1739,Put A Little Love In Your Heart,Jackie DeShannon,20140,14,1740,55340,1468,Rock,
3708,Dandy,Herman's Hermits,15684,11,3709,54624,1477,Rock,
536,Let There Be Drums,Sandy Nelson,25232,16,537,54363,1480,Rock,
8255,Eve Of Destruction,The Turtles,200,2,8256,54137,1484,Rock,
2381,Fame And Fortune,Elvis Presley With The Jordanaires,18518,10,2382,53799,1489,Rock,
3290,"Bend Me, Shape Me",The American Breed,16492,14,3291,53633,1492,Rock,
3089,The Little Girl I Once Knew,The Beach Boys,16916,8,3090,53606,1493,Rock,
3259,Things,Bobby Darin,16560,12,3260,53483,1495,Rock,
3815,Lightning's Girl,Nancy Sinatra,15476,7,3816,53453,1496,Rock,
847,Double Shot (Of My Baby's Love),Swingin' Medallions,23458,13,848,53446,1498,Rock,
3042,Mystic Eyes,Them,17036,8,3043,53062,1501,Rock,
3946,This Is My Song,Petula Clark,15088,12,3947,52843,1505,Rock,
1388,Foolish Little Girl,The Shirelles,21234,14,1389,52786,1509,Rock,
2722,Here It Comes Again,The Fortunes,17820,8,2723,52659,1512,Rock,
4508,Walk Like A Man,The 4 Seasons,13430,13,4509,52367,1513,Rock,
4966,Because,The Dave Clark Five,11794,10,4967,52190,1518,Rock,
1445,There's A Moon Out Tonight,The Capris,21024,14,1446,52180,1520,Rock,
5258,Sit With The Guru,Strawberry Alarm Clock,10716,5,5259,52128,1522,Rock,
3677,Nashville Cats,The Lovin' Spoonful,15770,10,3678,51935,1523,Rock,
3401,One Track Mind,The Knickerbockers,16296,7,3402,51867,1525,Rock,
3558,Don't Ever Leave Me,Connie Francis,16024,7,3559,51828,1526,Rock,
1525,Twenty Four Hours From Tulsa,Gene Pitney,20784,11,1526,51776,1528,Rock,
4971,Listen People,Herman's Hermits,11786,9,4972,51564,1530,Rock,
975,Volare,Bobby Rydell,22814,15,976,51557,1531,Rock,
7524,Alfie,Cilla Black,1252,3,7525,51529,1532,Rock,
1837,Sha La La,Manfred Mann,19860,12,1838,51474,1534,Rock,
3847,Let Me Be,The Turtles,15422,7,3848,51366,1535,Rock,
4002,You're My World,Cilla Black,14908,7,4003,51330,1536,Rock,
2125,Farmer John,The Premiers,19094,9,2126,51157,1537,Rock,
1565,Steppin' Out,Paul Revere & The Raiders,20622,9,1566,51096,1538,Rock,
1892,Only Love Can Break A Heart,Gene Pitney,19724,14,1893,50977,1539,Rock,
3618,Celebrate,Three Dog Night,15896,9,3619,50880,1542,Rock,
4333,Mighty Joe,The Shocking Blue,13922,7,4334,50857,1544,Rock,
5199,People Got To Be Free,The Rascals,10916,14,5200,50462,1548,Rock,
1351,Lady Godiva,Peter And Gordon,21352,14,1352,50410,1549,Rock,
1343,Lucille,The Everly Brothers,21380,10,1344,50402,1550,Rock,
2096,Tallahassee Lassie,Freddy Cannon,19180,15,2097,50298,1552,Rock,
1749,Rama Lama Ding Dong,The Edsels,20118,11,1750,50296,1553,Rock,
2449,Because They're Young,Duane Eddy And The Rebels,18360,15,2450,50218,1555,Rock,
4341,Secret Agent Man,The Ventures,13894,7,4342,49457,1563,Rock,
1099,Ginny Come Lately,Brian Hyland,22262,11,1100,49402,1565,Rock,
5097,Ebb Tide,The Righteous Brothers,11302,9,5098,49336,1566,Rock,
706,Artificial Flowers,Bobby Darin,24146,12,707,48791,1570,Rock,
475,Frankie,Connie Francis,25708,15,476,48661,1571,Rock,
4790,He Cried,The Shangri-Las,12444,6,4791,48446,1577,Rock,
4191,Born To Be Together,The Ronettes Featuring Veronica,14324,6,4192,48434,1578,Rock,
909,Enchanted,The Platters,23110,15,910,48125,1580,Rock,
241,I'd Wait A Million Years,The Grass Roots,28724,15,242,48067,1582,Rock,
1777,A World Of Our Own,The Seekers,20034,10,1778,47186,1592,Rock,
1305,Heartaches,The Marcels,21502,12,1306,47105,1593,Rock,
1804,Out In The Country,Three Dog Night,19980,11,1805,47011,1595,Rock,
5759,Knock Three Times,Dawn,8152,6,5760,46732,1600,Rock,
38,Mona Lisa,Carl Mann,37238,16,39,46712,1601,Rock,
4123,Big Boss Man,Elvis Presley,14536,6,4124,46672,1602,Rock,
2757,Night Time,The Strangeloves,17708,8,2758,46603,1605,Rock,
1047,Keep Searchin' (We'll Follow The Sun),Del Shannon,22470,14,1048,46508,1607,Rock,
1340,I'm Gonna Make You Mine,Lou Christie,21386,12,1341,46094,1612,Rock,
2085,Girl Don't Come,Sandie Shaw,19206,9,2086,45812,1619,Rock,
4100,Everything That Touches You,The Association,14604,9,4101,45652,1622,Rock,
645,Take A Message To Mary,The Everly Brothers,24512,13,646,45647,1623,Rock,
7398,Sweet Little Sixteen,Jerry Lee Lewis,1528,3,7399,45502,1626,Rock,
3617,Morningtown Ride,The Seekers,15898,7,3618,45376,1627,Rock,
2505,Many Tears Ago,Connie Francis,18264,13,2506,45216,1629,Rock,
1660,You Know What I Mean,The Turtles,20358,11,1661,44944,1631,Rock,
788,Nut Rocker,B. Bumble & The Stingers,23778,11,789,44857,1632,Rock,
2648,It Keeps Right On A-Hurtin',Johnny Tillotson,18002,14,2649,44856,1633,Rock,
8132,Animal Zoo,Spirit,388,1,8133,44778,1635,Rock,
6535,"Darkness, Darkness",The Youngbloods,4170,4,6536,44771,1636,Rock,
1719,Hey Joe,The Leaves,20184,9,1720,44747,1637,Rock,
8309,Teenage Heaven,Eddie Cochran,198,1,8310,44675,1638,Rock,
4304,I Couldn't Live Without Your Love,Petula Clark,13992,9,4305,44580,1639,Rock,
7539,Living In The U.s.a.,The Steve Miller Band,1228,2,7540,44473,1642,Rock,
952,Forty Miles Of Bad Road,Duane Eddy And The Rebels,22904,15,953,44332,1645,Rock,
1706,"Happy Birthday, Sweet Sixteen",Neil Sedaka,20232,14,1707,43946,1650,Rock,
2063,Lazy River,Bobby Darin,19242,10,2064,43818,1651,Rock,
6883,Just A Little Bit,Blue Cheer,2788,4,6884,43747,1653,Rock,
1246,Woman,Peter And Gordon,21730,12,1247,43692,1654,Rock,
5644,Barefoot In Baltimore,Strawberry Alarm Clock,8784,4,5645,43625,1657,Rock,
3037,Pony Time,Chubby Checker,17050,16,3038,43526,1658,Rock,
2269,Along Came Jones,The Coasters,18782,12,2270,43481,1659,Rock,
3133,You Must Have Been A Beautiful Baby,Bobby Darin,16824,11,3134,43332,1661,Rock,
6805,Lady Friend,The Byrds,3116,2,6806,43210,1662,Rock,
2191,Guantanamera,The Sandpipers,18950,11,2192,43070,1663,Rock,
3209,Just Once In My Life,The Righteous Brothers,16666,11,3210,42969,1664,Rock,
339,The Way I Walk,Jack Scott,27212,14,340,42952,1665,Rock,
2002,A Question Of Temperature,The Balloon Farm,19404,8,2003,42864,1668,Rock,
2810,So Much In Love,The Tymes,17570,15,2811,42834,1669,Rock,
4893,Bread And Butter,The Newbeats,12098,12,4894,42806,1670,Rock,
3596,Pay You Back With Interest,The Hollies,15936,7,3597,42790,1671,Rock,
6400,In The Still Of The Nite,The Five Satins,4750,5,6401,42716,1673,Rock,
2714,Summer Rain,Johnny Rivers,17832,10,2715,42596,1676,Rock,
3584,One Summer Night,The Danleers,15972,8,3585,42168,1682,Rock,
5661,100 Years,Nancy Sinatra,8712,6,5662,42138,1683,Rock,
7458,Bad Little Woman,The Shadows Of Knight,1390,2,7459,42082,1685,Rock,
3626,That's The Way Boys Are,Lesley Gore,15884,9,3627,42043,1686,Rock,
7869,Long Live Love,Sandie Shaw,686,3,7870,42012,1689,Rock,
2657,I'll Try Anything,Dusty Springfield,17984,8,2658,41952,1691,Rock,
681,Harbor Lights,The Platters,24304,16,682,41661,1696,Rock,
4366,Long Live Our Love,The Shangri-Las,13820,6,4367,41618,1698,Rock,
3862,Don't Break The Heart That Loves You,Connie Francis,15360,13,3863,41614,1699,Rock,
5304,Too Soon To Know,Roy Orbison,10520,5,5305,41468,1701,Rock,
2913,Love Potion Number Nine,The Searchers,17348,14,2914,41373,1703,Rock,
199,Hushabye,The Mystics,29750,15,200,41220,1707,Rock,
1831,Don't You Care,The Buckinghams,19878,14,1832,41176,1708,Rock,
4079,Over You,Gary Puckett And The Union Gap,14698,11,4080,41085,1709,Rock,
3245,Sometimes Good Guys Don't Wear White,The Standells,16586,8,3246,40906,1712,Rock,
924,Stairway To Heaven,Neil Sedaka,23044,15,925,40487,1717,Rock,
573,You Mean Everything To Me,Neil Sedaka,25002,13,574,40114,1724,Rock,
7451,Hard To Handle,Patti Drew,1402,2,7452,40026,1726,Rock,
2920,Bobby's Girl,Marcie Blane,17326,16,2921,40021,1727,Rock,
3944,Next Door To An Angel,Neil Sedaka,15100,11,3945,39872,1729,Rock,
1734,Baby Don't Go,Sonny & Cher,20160,12,1735,39798,1730,Rock,
2835,Rain On The Roof,The Lovin' Spoonful,17524,10,2836,39789,1731,Rock,
6746,I Can't Tell The Bottom From The Top,The Hollies,3312,4,6747,39696,1732,Rock,
102,My True Story,The Jive Five,32546,19,103,39658,1733,Rock,
3958,One Broken Heart For Sale,Elvis Presley With The Mello Men,15052,9,3959,39608,1734,Rock,
3479,Even The Bad Times Are Good,The Tremeloes,16144,7,3480,39436,1736,Rock,
6708,Can I Get To Know You Better,The Turtles,3474,5,6709,39428,1737,Rock,
3288,Just A Little Bit Better,Herman's Hermits,16496,10,3289,39371,1739,Rock,
5155,Wild In The Country,Elvis Presley With The Jordanaires,11074,5,5156,39345,1740,Rock,
580,Gypsy Woman,Brian Hyland,24984,17,581,39307,1741,Rock,
2750,Suspicion,Terry Stafford,17726,15,2751,39245,1743,Rock,
6127,Christmas Auld Lang Syne,Bobby Darin,6112,3,6128,39071,1747,Rock,
1085,So Long Baby,Del Shannon,22310,10,1086,38913,1750,Rock,
4587,Bits And Pieces,The Dave Clark Five,13176,11,4588,38498,1760,Rock,
999,Let's Think About Living,Bob Luman,22686,14,1000,38493,1761,Rock,
1723,Nadine (Is It You?),Chuck Berry,20178,10,1724,38334,1762,Rock,
3664,Why,Frankie Avalon,15786,16,3665,38332,1763,Rock,
2636,Teen Beat,Sandy Nelson,18014,16,2637,38235,1764,Rock,
3740,Nobody I Know,Peter And Gordon,15608,9,3741,37915,1767,Rock,
2405,Neon Rainbow,The Box Tops,18464,9,2406,37891,1768,Rock,
4535,Sherry,The 4 Seasons,13342,14,4536,37576,1776,Rock,
3210,My True Love,Jack Scott,16662,14,3211,37500,1779,Rock,
1913,Plain Jane,Bobby Darin,19666,9,1914,37392,1783,Rock,
1936,Sugar And Spice,The Cryan' Shames,19608,9,1937,37360,1785,Rock,
2166,Ain't That Loving You Baby,Elvis Presley,19014,10,2167,37352,1786,Rock,
5805,Leroy,Jack Scott,7896,5,5806,37308,1787,Rock,
3915,Six O'Clock,The Lovin' Spoonful,15192,8,3916,37217,1789,Rock,
1972,Penetration,The Pyramids,19488,10,1973,37170,1790,Rock,
3985,Hurt So Bad,Little Anthony And The Imperials,14952,9,3986,37141,1791,Rock,
333,Mendocino,Sir Douglas Quintet,27334,15,334,37104,1792,Rock,
1173,She's A Fool,Lesley Gore,21986,15,1174,37073,1794,Rock,
1264,Multiplication,Bobby Darin,21672,10,1265,36958,1795,Rock,
930,Try A Little Tenderness,Three Dog Night,23016,12,931,36841,1799,Rock,
769,It Hurts To Be In Love,Gene Pitney,23884,16,770,36774,1801,Rock,
579,It's Just A Matter Of Time,Brook Benton,24986,18,580,36682,1804,Rock,
3446,Kissin' Cousins,Elvis Presley With The Jordanaires,16214,9,3447,36609,1805,Rock,
4328,Second Hand Love,Connie Francis,13930,9,4329,36493,1807,Rock,
870,You're Gonna Miss Me,Connie Francis,23316,10,871,36333,1810,Rock,
3852,Ruby Baby,Dion,15404,13,3853,36328,1811,Rock,
4835,Flaming Star,Elvis Presley With The Jordanaires,12310,7,4836,36268,1813,Rock,
3225,So Sad (To Watch Good Love Go Bad),The Everly Brothers,16622,12,3226,36186,1816,Rock,
6997,Good Morning Starshine,Strawberry Alarm Clock,2436,2,6998,36177,1817,Rock,
837,Shape Of Things To Come,Max Frost And The Troopers,23486,12,838,36090,1818,Rock,
5414,Anthony Boy,Chuck Berry,9988,5,5415,35866,1822,Rock,
3182,Hungry,Paul Revere & The Raiders Featuring Mark Lindsay,16730,11,3183,35835,1823,Rock,
4578,The People In Me,The Music Machine,13208,8,4579,35824,1824,Rock,
4548,It Feels So Right,Elvis Presley With The Jordanaires,13306,6,4549,35804,1826,Rock,
446,Poor Jenny,The Everly Brothers,26008,12,447,35588,1830,Rock,
3522,Slaughter On Tenth Avenue,The Ventures,16074,7,3523,35527,1831,Rock,
7468,Who Do You Love,The Woolies,1346,3,7469,35454,1833,Rock,
827,If I Didn't Care,Connie Francis,23552,11,828,35355,1834,Rock,
1737,Smile A Little Smile For Me,The Flying Machine,20144,14,1738,35219,1838,Rock,
2929,Yesterday's Gone,Chad & Jeremy,17298,9,2930,35185,1839,Rock,
768,Sorry (I Ran All The Way Home),The Impalas,23886,18,769,34887,1842,Rock,
374,Step By Step,The Crests,26734,15,375,34789,1846,Rock,
1896,Follow The Boys,Connie Francis,19710,10,1897,34748,1847,Rock,
1886,"Woman, Woman",The Union Gap Featuring Gary Puckett,19736,17,1887,34694,1849,Rock,
1992,Ten Little Indians,The Beach Boys,19432,8,1993,34600,1852,Rock,
828,Teddy,Connie Francis,23552,11,829,34411,1856,Rock,
4905,Don't Ask Me Why,Elvis Presley With The Jordanaires,12054,5,4906,34399,1857,Rock,
5583,Soul Experience,Iron Butterfly,9108,5,5584,34267,1860,Rock,
3947,Lucky Lips,Cliff Richard,15086,8,3948,33934,1865,Rock,
849,Party Lights,Claudine Clark,23428,15,850,33877,1867,Rock,
2786,Monterey,Eric Burdon & The Animals,17628,9,2787,33847,1869,Rock,
5587,I'm Tired,Savoy Brown,9090,5,5588,33805,1870,Rock,
6355,Grim Reaper Of Love,The Turtles,4938,4,6356,33805,1871,Rock,
1016,Indian Lake,The Cowsills,22642,13,1017,33727,1872,Rock,
3094,Little Devil,Neil Sedaka,16902,9,3095,33712,1873,Rock,
5145,You Better Think Twice,Poco,11096,8,5146,33682,1874,Rock,
4271,Little Games,The Yardbirds,14094,6,4272,33520,1878,Rock,
1959,Monster,Steppenwolf,19528,8,1960,33449,1882,Rock,
3164,Deep Purple,Nino Tempo & April Stevens,16758,15,3165,33432,1885,Rock,
1245,Tell Me (You're Coming Back),The Rolling Stones,21734,10,1246,33308,1886,Rock,
3122,"Abraham, Martin And John",Dion,16842,14,3123,33299,1887,Rock,
2045,Ebony Eyes,The Everly Brothers,19272,12,2046,33052,1895,Rock,
1327,Baby Talk,Jan & Dean,21426,12,1328,32743,1900,Rock,
1551,Two Faces Have I,Lou Christie,20650,15,1552,32645,1902,Rock,
2932,"Mercy, Mercy, Mercy",The Buckinghams,17288,12,2933,32553,1903,Rock,
830,Chains,The Cookies,23538,12,831,32529,1905,Rock,
1088,Suddenly You Love Me,The Tremeloes,22304,10,1089,32518,1906,Rock,
2071,Where Were You When I Needed You,The Grass Roots,19226,9,2072,32451,1909,Rock,
3426,Hollywood,Connie Francis,16262,7,3427,32333,1912,Rock,
776,Beatnik Fly,Johnny And The Hurricanes,23830,13,777,32265,1915,Rock,
4033,Heart And Soul,Jan & Dean,14834,7,4034,32244,1916,Rock,
3198,Mirage,Tommy James And The Shondells,16698,10,3199,32087,1922,Rock,
3848,You Don't Have To Walk In The Rain,The Turtles,15418,7,3849,31928,1927,Rock,
1669,Keep Your Hands Off My Baby,Little Eva,20338,12,1670,31789,1929,Rock,
3086,Bristol Stomp,The Dovells,16916,16,3087,31348,1936,Rock,
4646,One Man Band,Three Dog Night,13018,6,4647,31347,1937,Rock,
2646,My Heart Has A Mind Of Its Own,Connie Francis,18004,17,2647,31339,1938,Rock,
3650,He Thinks I Still Care,Connie Francis,15812,8,3651,31273,1941,Rock,
4792,Down By The River,Buddy Miles,12440,7,4793,31226,1943,Rock,
5548,Lullaby Of The Leaves,The Ventures,9294,5,5549,31211,1944,Rock,
1149,Forget Him,Bobby Rydell,22072,16,1150,31173,1945,Rock,
4334,Hi-De-Ho,"Blood, Sweat & Tears",13918,8,4335,31166,1946,Rock,
3912,Ride The Wild Surf,Jan & Dean,15198,8,3913,31028,1950,Rock,
6007,Is This What I Get For Loving You?,The Ronettes Featuring Veronica,6782,4,6008,30877,1954,Rock,
1682,When I Fall In Love,The Lettermen,20296,14,1683,30832,1956,Rock,
625,Mr. Bass Man,Johnny Cymbal,24710,13,626,30814,1957,Rock,
2749,Western Union,The Five Americans,17728,12,2750,30811,1958,Rock,
4140,Bird Dance Beat,The Trashmen,14472,7,4141,30783,1959,Rock,
6408,Willie & Laura Mae Jones,Dusty Springfield,4732,3,6409,30778,1960,Rock,
480,Goodbye Baby,Jack Scott,25676,16,481,30738,1961,Rock,
4644,The Little Old Lady (From Pasadena),Jan & Dean,13022,11,4645,30715,1962,Rock,
3594,Looking For Love,Connie Francis,15940,7,3595,30696,1964,Rock,
1684,Handy Man,Del Shannon,20296,10,1685,30660,1965,Rock,
3615,Lucretia Mac Evil,"Blood, Sweat & Tears",15900,7,3616,30656,1966,Rock,
4793,Easy Rider (Let The Wind Pay The Way),Iron Butterfly,12440,6,4794,30544,1968,Rock,
1844,What In The World's Come Over You,Jack Scott,19842,16,1845,30510,1969,Rock,
6394,"Hello, Dolly!",Bobby Darin,4786,3,6395,30480,1970,Rock,
1444,She Cried,Jay & The Americans,21024,14,1445,30455,1971,Rock,
732,Chewy Chewy,Ohio Express,24036,13,733,30220,1976,Rock,
92,No One Knows,Dion & The Belmonts,32986,16,93,30158,1977,Rock,
1134,98.6,Keith,22132,14,1135,30146,1978,Rock,
4404,Easier Said Than Done,The Essex,13738,13,4405,30141,1979,Rock,
3996,Little Man,Sonny & Cher,14918,7,3997,29939,1983,Rock,
2874,(He's My) Dreamboat,Connie Francis,17448,9,2875,29935,1984,Rock,
653,"Sit Down, I Think I Love You",The Mojo Men,24442,11,654,29920,1986,Rock,
4358,A Sign Of The Times,Petula Clark,13844,8,4359,29716,1989,Rock,
3297,King Of The Whole Wide World,Elvis Presley With The Jordanaires,16472,7,3298,29714,1990,Rock,
6311,From Me To You,Del Shannon,5104,4,6312,29690,1991,Rock,
2719,Do You Love Me,The Dave Clark Five,17826,10,2720,29654,1992,Rock,
929,I See The Light,The Five Americans,23020,11,930,29508,1995,Rock,
530,Arizona,Mark Lindsay,25288,16,531,29421,1996,Rock,
1397,Call Me,Chris Montez,21206,10,1398,29350,2000,Rock,
5458,The Swiss Maid,Del Shannon,9774,5,5459,29246,2004,Rock,
2199,Ram-Bunk-Shush,The Ventures,18940,9,2200,29219,2005,Rock,
2601,Popsicles And Icicles,The Murmaids,18076,14,2602,29199,2007,Rock,
3684,That's My Little Suzie,Ritchie Valens,15758,8,3685,29175,2009,Rock,
4210,Sweet Cherry Wine,Tommy James And The Shondells,14288,10,4211,29137,2012,Rock,
7746,In The Time Of Our Lives,Iron Butterfly,868,2,7747,29039,2014,Rock,
1602,Talk Back Trembling Lips,Johnny Tillotson,20510,13,1603,29038,2015,Rock,
4588,In Our Time,Nancy Sinatra,13176,6,4589,29034,2016,Rock,
4586,Come Tomorrow,Manfred Mann,13180,6,4587,28994,2017,Rock,
1241,"Corinna, Corinna",Ray Peterson,21744,15,1242,28815,2022,Rock,
406,Soul Deep,The Box Tops,26406,14,407,28810,2023,Rock,
5161,When,Kalin Twins,11050,9,5162,28503,2030,Rock,
3825,Little Latin Lupe Lu,The Righteous Brothers,15458,7,3826,28462,2032,Rock,
5110,Not Too Young To Get Married,Bob B. Soxx And The Blue Jeans,11268,6,5111,28330,2037,Rock,
2754,What's It Gonna Be,Dusty Springfield,17718,8,2755,28322,2038,Rock,
6507,Coo Coo,Big Brother & The Holding Company,4284,3,6508,28314,2040,Rock,
3670,Crawling Back,Roy Orbison,15780,7,3671,28311,2041,Rock,
3126,Poor Side Of Town,Johnny Rivers,16840,15,3127,28216,2044,Rock,
2926,Rainbow,The Marmalade,17302,8,2927,28157,2046,Rock,
7028,Werewolf,The Frantics,2322,2,7029,28099,2047,Rock,
1366,I Just Can't Help Believing,B.J. Thomas,21314,13,1367,27962,2049,Rock,
2777,Papa-Oom-Mow-Mow,The Rivingtons,17648,8,2778,27907,2052,Rock,
5482,The Ballad Of The Green Berets,SSgt Barry Sadler,9658,13,5483,27851,2054,Rock,
3281,Lovers Who Wander,Dion,16508,12,3282,27765,2055,Rock,
203,So Fine,The Fiestas,29632,16,204,27601,2059,Rock,
3714,Point Panic,The Surfaris,15666,8,3715,27588,2060,Rock,
697,Early In The Morning,Vanity Fare,24190,13,698,27548,2061,Rock,
2232,All That I Am,Elvis Presley With The Jordanaires,18878,8,2233,27494,2064,Rock,
1584,"Turn Around, Look At Me",The Vogues,20586,15,1585,27452,2066,Rock,
1540,What's Your Name,Don & Juan,20686,13,1541,27394,2067,Rock,
140,The Angels Listened In,The Crests,31140,16,141,27366,2069,Rock,
1129,I Have A Boyfriend,The Chiffons,22144,10,1130,27318,2073,Rock,
2975,This Girl Is A Woman Now,Gary Puckett And The Union Gap,17192,11,2976,27235,2075,Rock,
2250,"Run, Run, Run",The Third Rail,18836,9,2251,27196,2076,Rock,
2038,Right Or Wrong,Wanda Jackson,19292,11,2039,27196,2077,Rock,
2509,Help Me Girl,Eric Burdon & The Animals,18260,9,2510,27111,2078,Rock,
1606,Since I Fell For You,Lenny Welch,20500,16,1607,26903,2083,Rock,
3197,It's Nice To Be With You,The Monkees,16704,7,3198,26841,2086,Rock,
4145,Tapioca Tundra,The Monkees,14458,6,4146,26800,2087,Rock,
4379,Why Pick On Me,The Standells,13796,7,4380,26794,2088,Rock,
3267,See See Rider,Eric Burdon & The Animals,16542,10,3268,26761,2089,Rock,
1770,I Need Somebody,? (Question Mark) & The Mysterians,20058,10,1771,26628,2094,Rock,
4010,Good Thing,Paul Revere & The Raiders Featuring Mark Lindsay,14888,12,4011,26495,2096,Rock,
2383,Indian Giver,1910 Fruitgum Co.,18516,13,2384,26396,2099,Rock,
4265,This Door Swings Both Ways,Herman's Hermits,14118,8,4266,26287,2104,Rock,
414,The Hucklebuck,Chubby Checker,26324,13,415,26279,2105,Rock,
7360,Little Boy,The Crystals,1602,3,7361,26243,2108,Rock,
2021,My Wish Came True,Elvis Presley With The Jordanaires,19324,11,2022,26197,2111,Rock,
6825,Needles And Pins,Jackie DeShannon,3032,4,6826,26136,2113,Rock,
771,Look In My Eyes,The Chantels,23882,12,772,25998,2115,Rock,
6839,Someday Man,The Monkees,2980,2,6840,25964,2116,Rock,
3388,Tell Me Why,Elvis Presley With The Jordanaires,16316,7,3389,25875,2120,Rock,
2878,Telstar,The Tornadoes,17440,16,2879,25820,2121,Rock,
4473,She Is Still A Mystery,The Lovin' Spoonful,13536,6,4474,25786,2124,Rock,
5881,The Witch,The Rattles,7446,5,5882,25730,2127,Rock,
2365,Shake,Shadows Of Knight,18576,8,2366,25721,2128,Rock,
1628,U.S. Male,Elvis Presley With The Jordanaires,20450,9,1629,25715,2129,Rock,
5305,Going To The Country,The Steve Miller Band,10518,6,5306,25701,2130,Rock,
1632,Ride Away,Roy Orbison,20438,10,1633,25688,2131,Rock,
3687,Together,Connie Francis,15754,11,3688,25622,2133,Rock,
3071,Little Boy Sad,Johnny Burnette,16944,9,3072,25538,2134,Rock,
4336,Let's Go Trippin',Dick Dale and The Del-Tones,13912,9,4337,25465,2137,Rock,
4263,Goodnight,Roy Orbison,14126,7,4264,25459,2138,Rock,
3879,Love Eyes,Nancy Sinatra,15328,8,3880,25456,2139,Rock,
5680,Endless Sleep,Jody Reynolds,8602,6,5681,25437,2140,Rock,
237,Lonely Teenager,Dion,28912,16,238,25357,2143,Rock,
2726,Dancin' Party,Chubby Checker,17812,10,2727,25158,2151,Rock,
8327,When You Walk In The Room,Jackie DeShannon,198,1,8328,25111,2152,Rock,
2876,Don't Talk To Strangers,The Beau Brummels,17444,8,2877,25070,2154,Rock,
2977,Little Bit O' Soul,The Music Explosion,17186,16,2978,24958,2159,Rock,
6222,Ooh Baby,Bo Diddley,5570,7,6223,24929,2160,Rock,
3212,Sidewalk Surfin',Jan & Dean,16656,8,3213,24890,2165,Rock,
2436,Drag City,Jan & Dean,18382,11,2437,24815,2169,Rock,
2742,"Ruby, Don't Take Your Love To Town",Kenny Rogers & The First Edition,17754,13,2743,24793,2171,Rock,
7368,Who Do You Love,Quicksilver Messenger Service,1580,3,7369,24649,2173,Rock,
