song,artist,lastfm_count,new_popularity
Try A Little Tenderness,Otis Redding,1357143.0,132
The Letter,The Box Tops,1351424.0,133
Baby You're A Rich Man,The Beatles,1346968.0,134
The Thrill Is Gone,B.B. King,1344543.0,135
Think,Aretha Franklin,1324084.0,136
I'm Happy Just To Dance With You,The Beatles,1314468.0,137
What Goes On,The Beatles,1304963.0,138
El Condor Pasa (If I Could),Simon & Garfunkel,1294854.0,139
White Christmas,Bing Crosby,1285757.0,140
These Arms Of Mine,Otis Redding,1263297.0,141
Runaway,Del Shannon,1260889.0,142
I Can't Explain,The Who,1243003.0,143
California Girls,The Beach Boys,1239394.0,144
Do You Want To Know A Secret,The Beatles,1235981.0,145
A Change Is Gonna Come,Sam Cooke,1226304.0,146
Black Magic Woman,Santana,1210389.0,147
You Never Can Tell,Chuck Berry,1203121.0,148
Rainy Day Women #12 & 35,Bob Dylan,1199717.0,149
She's Not There,The Zombies,1189317.0,150
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,1185659.0,151
For Once In My Life,Stevie Wonder,1181266.0,152
Let's Spend The Night Together,The Rolling Stones,1169382.0,153
Play With Fire,The Rolling Stones,1163913.0,154
Get Rhythm,Johnny Cash,1156865.0,155
Summer In The City,The Lovin' Spoonful,1149081.0,156
Don't Let Me Be Misunderstood,The Animals,1144828.0,157
Roll Over Beethoven,The Beatles,1143109.0,158
War,Edwin Starr,1131586.0,159
Little Green Bag,George Baker Selection,1127604.0,160
Black Night,Deep Purple,1127360.0,161
Act Naturally,The Beatles,1115881.0,162
You Can't Do That,The Beatles,1110833.0,163
Fever,Peggy Lee,1099640.0,164
When A Man Loves A Woman,Percy Sledge,1098169.0,165
With A Little Help From My Friends,Joe Cocker,1096769.0,166
Only Love Can Break Your Heart,Neil Young,1095586.0,167
19th Nervous Breakdown,The Rolling Stones,1086531.0,168
Get Off Of My Cloud,The Rolling Stones,1085066.0,169
On The Road Again,Canned Heat,1071634.0,170
Build Me Up Buttercup,The Foundations,1062355.0,171
P.S. I Love You,The Beatles,1057075.0,172
Positively 4th Street,Bob Dylan,1042470.0,173
The Seeker,The Who,1039387.0,174
I'll Cry Instead,The Beatles,1031251.0,175
Boom Boom,John Lee Hooker,1024514.0,176
Jingle Bell Rock,Bobby Helms,1021093.0,177
Daydream Believer,The Monkees,1019523.0,178
A Hazy Shade Of Winter,Simon & Garfunkel,996894.0,179
Time Is On My Side,The Rolling Stones,991828.0,180
Chain Of Fools,Aretha Franklin,989142.0,181
Happy Jack,The Who,985285.0,182
The Last Time,The Rolling Stones,983909.0,183
You Can't Hurry Love,The Supremes,980254.0,184
Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,976350.0,185
That's Life,Frank Sinatra,964573.0,186
Alone Again Or,Love,961408.0,187
Beyond The Sea,Bobby Darin,947485.0,188
Magic Bus,The Who,931917.0,189
In The Summertime,Mungo Jerry,930083.0,190
Barbara Ann,The Beach Boys,925288.0,191
Surfin' Bird,The Trashmen,921190.0,192
Commotion,Creedence Clearwater Revival,915301.0,193
As Tears Go By,The Rolling Stones,908837.0,194
Not Fade Away,The Rolling Stones,906954.0,195
Crosstown Traffic,The Jimi Hendrix Experience,904887.0,196
Wonderful World,Sam Cooke,902018.0,197
Going Up The Country,Canned Heat,899622.0,198
Don't Worry Baby,The Beach Boys,896388.0,199
Do You Love Me,The Contours,896134.0,200
Downtown,Petula Clark,895928.0,201
Rockin' Around The Christmas Tree,Brenda Lee,892462.0,202
Everyday People,Sly & The Family Stone,891215.0,203
Flowers On The Wall,The Statler Brothers,882951.0,204
Louie Louie,The Kingsmen,862281.0,205
Big Yellow Taxi,Joni Mitchell,859500.0,206
Dream A Little Dream Of Me,Mama Cass With The Mamas & The Papas,858604.0,207
Badge,Cream,845495.0,208
There's A Place,The Beatles,841848.0,209
Ain't Too Proud To Beg,The Temptations,840995.0,210
A Little Less Conversation,Elvis Presley With The Jordanaires,840905.0,211
Crossroads,Cream,837621.0,212
Summertime Blues,Eddie Cochran,834881.0,213
L-O-V-E,Nat King Cole,834129.0,214
All I Have To Do Is Dream,The Everly Brothers,827973.0,215
Our House,"Crosby, Stills, Nash & Young",825596.0,216
I'll Be There,Jackson 5,824721.0,217
Elenore,The Turtles,812497.0,218
Summer Wind,Frank Sinatra,810745.0,219
These Boots Are Made For Walkin',Nancy Sinatra,803381.0,220
Baby Love,The Supremes,799329.0,221
Crazy,Patsy Cline,797821.0,222
At The Zoo,Simon & Garfunkel,797344.0,223
You're Gonna Miss Me,The Thirteenth Floor Elevators,793877.0,224
A Boy Named Sue,Johnny Cash,793123.0,225
Mississippi Queen,Mountain,788166.0,226
Volunteers,Jefferson Airplane,787298.0,227
Surfin' U.S.A.,The Beach Boys,777563.0,228
Rain,The Beatles,777229.0,229
My Cherie Amour,Stevie Wonder,776172.0,230
Bring It On Home To Me,Sam Cooke,773702.0,231
Land Of 1000 Dances,Wilson Pickett,772640.0,232
Victoria,The Kinks,771895.0,233
It's Now Or Never,Elvis Presley With The Jordanaires,769829.0,234
No Milk Today,Herman's Hermits,769811.0,235
Teach Your Children,"Crosby, Stills, Nash & Young",769485.0,236
Heart Full Of Soul,The Yardbirds,768664.0,237
Return To Sender,Elvis Presley With The Jordanaires,765939.0,238
After Midnight,Eric Clapton,764437.0,239
In Dreams,Roy Orbison,760892.0,240
In-A-Gadda-Da-Vida,Iron Butterfly,760671.0,241
Soul Man,Sam & Dave,756541.0,242
Cupid,Sam Cooke,754250.0,243
Leopard-Skin Pill-Box Hat,Bob Dylan,750219.0,244
Eight Miles High,The Byrds,748506.0,245
Milord,Edith Piaf,746822.0,246
We Gotta Get Out Of This Place,The Animals,746755.0,247
Tired Of Waiting For You,The Kinks,735595.0,248
Crimson And Clover,Tommy James And The Shondells,732606.0,249
"Monday, Monday",The Mamas & The Papas,731377.0,250
Everybody's Talkin',Nilsson,727966.0,251
Crying,Roy Orbison,726965.0,252
