,song,artist,sum,count,lastfm_count
107,The End,Earl Grant,556,19,10617.0
108,Queen Of The Hop,Bobby Darin,635,19,78091.0
109,Stay,Maurice Williams & The Zodiacs,517,18,452638.0
110,Oh! Carol,Neil Sedaka,586,18,142878.0
111,Sorry (I Ran All The Way Home),The Impalas,564,18,34887.0
112,The Wanderer,Dion,459,18,348824.0
113,First Name Initial,Annette With The Afterbeats,803,18,34.0
114,Alley Cat,Bent Fabric and His Piano,594,18,1411.0
115,Once In Awhile,The Chimes,853,18,9769.0
116,Pretty Blue Eyes,Steve Lawrence,493,18,37559.0
117,Days Of Wine And Roses,Henry Mancini And His Orchestra,805,18,42190.0
118,Teen Angel,Mark Dinning,450,18,66171.0
119,Everybody's Somebody's Fool,Connie Francis,301,18,135620.0
120,Danny Boy,Conway Twitty,589,18,10242.0
121,Sleep Walk,Santo & Johnny,498,18,164729.0
122,Do You Love Me,The Contours,637,18,896134.0
123,Sink The Bismark,Johnny Horton,473,18,34070.0
124,Don't You Know,Della Reese,414,18,20813.0
125,Peppermint Twist - Part I,Joey Dee & the Starliters,315,18,163.0
126,Bird Dog,The Everly Brothers,358,18,132305.0
127,Sea Of Love,Phil Phillips With The Twilights,460,18,159571.0
128,Cotton Fields,The Highwaymen,652,18,8085.0
129,Save The Last Dance For Me,The Drifters,386,18,459419.0
130,Sailor (Your Home Is The Sea),Lolita,538,18,1181.0
131,Put Your Head On My Shoulder,Paul Anka,361,18,236114.0
132,She Belongs To Me,Rick Nelson,1174,18,2250.0
133,Mockingbird,Inez Foxx with Charlie Foxx,709,18,13164.0
134,Hang 'Em High,Booker T. & The MG's,638,18,60950.0
135,Wings Of A Dove,Ferlin Husky,575,18,47031.0
136,"He Ain't Heavy, He's My Brother",The Hollies,749,18,281196.0
137,Image Of A Girl,Safaris with The Phantom's Band,625,18,17.0
138,Makin' Love,Floyd Robinson,705,18,3016.0
139,Candida,Dawn,504,18,12412.0
140,Handy Man,Jimmy Jones,402,18,43811.0
141,It's Just A Matter Of Time,Brook Benton,514,18,36682.0
142,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,363,18,73.0
143,Louie Louie,The Kingsmen,491,18,862281.0
144,Lonesome Town,Ricky Nelson,360,18,642213.0
145,Boogaloo Down Broadway,The Fantastic Johnny C,591,18,10516.0
146,Walk -- Don't Run,The Ventures,432,18,370.0
147,Cast Your Fate To The Wind,Vince Guaraldi Trio,1010,18,74314.0
148,Lavender-Blue,Sammy Turner,504,18,4934.0
149,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,673,18,522.0
150,Let Me In,The Sensations,579,18,18055.0
151,Mashed Potato Time,Dee Dee Sharp,378,18,57434.0
152,As The Years Go By,Mashmakhan,940,18,9221.0
153,He's A Rebel,The Crystals,520,18,267862.0
154,Wooly Bully,Sam The Sham and the Pharaohs,419,18,349393.0
155,I Want To Take You Higher,Ike & Tina Turner & The Ikettes,905,18,54985.0
156,My Happiness,Connie Francis,471,18,82599.0
